fuzzer,benchmark,trial,nqueue,msize
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-195,4730,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-191,4735,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-199,4777,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-193,4849,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-200,4807,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-194,4763,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-198,4712,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-192,4791,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-197,4787,131072
aflpp,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-196,4800,131072
aflpp,curl_curl_fuzzer_http,trial-160,4879,131072
aflpp,curl_curl_fuzzer_http,trial-154,4789,131072
aflpp,curl_curl_fuzzer_http,trial-156,4873,131072
aflpp,curl_curl_fuzzer_http,trial-158,4891,131072
aflpp,curl_curl_fuzzer_http,trial-153,4719,131072
aflpp,curl_curl_fuzzer_http,trial-157,4693,131072
aflpp,curl_curl_fuzzer_http,trial-152,4760,131072
aflpp,curl_curl_fuzzer_http,trial-151,4852,131072
aflpp,curl_curl_fuzzer_http,trial-155,4629,131072
aflpp,curl_curl_fuzzer_http,trial-159,4916,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-179,19546,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-173,29131,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-172,28354,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-174,25680,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-180,29711,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-177,30572,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-176,30490,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-171,30238,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-178,29868,131072
aflpp,harfbuzz_hb-shape-fuzzer,trial-175,29209,131072
aflpp,re2_fuzzer,trial-265,3757,131072
aflpp,re2_fuzzer,trial-269,3851,131072
aflpp,re2_fuzzer,trial-263,3877,131072
aflpp,re2_fuzzer,trial-270,3873,131072
aflpp,re2_fuzzer,trial-266,4011,131072
aflpp,re2_fuzzer,trial-262,3828,131072
aflpp,re2_fuzzer,trial-264,3760,131072
aflpp,re2_fuzzer,trial-268,3830,131072
aflpp,re2_fuzzer,trial-261,3784,131072
aflpp,re2_fuzzer,trial-267,3794,131072
aflpp,openh264_decoder_fuzzer,trial-247,15863,131072
aflpp,openh264_decoder_fuzzer,trial-250,17594,131072
aflpp,openh264_decoder_fuzzer,trial-244,17451,131072
aflpp,openh264_decoder_fuzzer,trial-241,16917,131072
aflpp,openh264_decoder_fuzzer,trial-249,17834,131072
