fuzzer,benchmark,trial,nqueue,msize
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-43,9824,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-44,9675,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-42,9882,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-41,9773,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-47,9857,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-49,9889,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-50,9900,131072
ddfuzz,libjpeg-turbo_libjpeg_turbo_fuzzer,trial-45,9912,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-33,838,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-40,1071,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-31,208,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-39,888,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-34,794,131072
ddfuzz,lcms_cms_transform_fuzzer,trial-32,989,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-24,36724,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-26,38258,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-29,36140,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-22,37388,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-30,37457,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-21,37802,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-23,38079,131072
ddfuzz,harfbuzz_hb-shape-fuzzer,trial-25,37412,131072
ddfuzz,openssl_x509,trial-106,2729,131072
ddfuzz,openssl_x509,trial-101,2706,131072
ddfuzz,openssl_x509,trial-109,2719,131072
ddfuzz,openssl_x509,trial-104,2732,131072
ddfuzz,openssl_x509,trial-103,2705,131072
ddfuzz,openssl_x509,trial-110,2692,131072
ddfuzz,openssl_x509,trial-102,2764,131072
ddfuzz,freetype2_ftfuzzer,trial-13,164931,131072
ddfuzz,freetype2_ftfuzzer,trial-12,164324,131072
ddfuzz,freetype2_ftfuzzer,trial-14,162683,131072
ddfuzz,freetype2_ftfuzzer,trial-20,153196,131072
ddfuzz,freetype2_ftfuzzer,trial-18,167073,131072
ddfuzz,freetype2_ftfuzzer,trial-15,167668,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-140,3245,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-137,3333,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-133,3435,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-138,3354,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-139,3204,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-134,3301,131072
ddfuzz,zlib_zlib_uncompress_fuzzer,trial-135,3226,131072
ddfuzz,stb_stbi_read_fuzzer,trial-126,20790,131072
ddfuzz,stb_stbi_read_fuzzer,trial-127,28327,131072
ddfuzz,stb_stbi_read_fuzzer,trial-124,27085,131072
ddfuzz,stb_stbi_read_fuzzer,trial-129,27414,131072
ddfuzz,stb_stbi_read_fuzzer,trial-121,26630,131072
ddfuzz,stb_stbi_read_fuzzer,trial-122,27218,131072
ddfuzz,stb_stbi_read_fuzzer,trial-125,27335,131072
ddfuzz,stb_stbi_read_fuzzer,trial-128,28665,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-66,2714,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-68,2492,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-64,2449,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-63,2441,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-67,2467,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-70,2470,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-62,2448,131072
ddfuzz,libpng_libpng_read_fuzzer,trial-61,2573,131072
ddfuzz,libxml2_xml,trial-71,30922,131072
ddfuzz,libxml2_xml,trial-80,31207,131072
ddfuzz,libxml2_xml,trial-77,31329,131072
ddfuzz,libxml2_xml,trial-76,31297,131072
ddfuzz,libxml2_xml,trial-79,31117,131072
ddfuzz,libxml2_xml,trial-75,29832,131072
ddfuzz,libxml2_xml,trial-73,30488,131072
ddfuzz,libxml2_xml,trial-78,32085,131072
ddfuzz,libxml2_xml,trial-74,30297,131072
ddfuzz,libxslt_xpath,trial-85,21336,131072
ddfuzz,libxslt_xpath,trial-82,20586,131072
ddfuzz,libxslt_xpath,trial-88,19924,131072
ddfuzz,libxslt_xpath,trial-84,19268,131072
ddfuzz,libxslt_xpath,trial-90,21251,131072
ddfuzz,libxslt_xpath,trial-87,22692,131072
ddfuzz,libxslt_xpath,trial-81,20713,131072
ddfuzz,libxslt_xpath,trial-86,21191,131072
ddfuzz,libxslt_xpath,trial-89,21774,131072
ddfuzz,curl_curl_fuzzer_http,trial-9,12334,131072
ddfuzz,curl_curl_fuzzer_http,trial-1,12922,131072
ddfuzz,curl_curl_fuzzer_http,trial-2,11543,131072
ddfuzz,curl_curl_fuzzer_http,trial-6,12018,131072
ddfuzz,curl_curl_fuzzer_http,trial-5,15359,131072
ddfuzz,curl_curl_fuzzer_http,trial-7,13058,131072
ddfuzz,re2_fuzzer,trial-116,23183,131072
ddfuzz,re2_fuzzer,trial-120,23152,131072
ddfuzz,re2_fuzzer,trial-118,23050,131072
ddfuzz,re2_fuzzer,trial-112,22935,131072
ddfuzz,re2_fuzzer,trial-119,22945,131072
ddfuzz,re2_fuzzer,trial-114,22807,131072
ddfuzz,re2_fuzzer,trial-115,23017,131072
ddfuzz,re2_fuzzer,trial-111,23138,131072
ddfuzz,openh264_decoder_fuzzer,trial-98,60079,131072
ddfuzz,openh264_decoder_fuzzer,trial-96,40846,131072
ddfuzz,openh264_decoder_fuzzer,trial-93,60407,131072
ddfuzz,openh264_decoder_fuzzer,trial-92,57538,131072
ddfuzz,openh264_decoder_fuzzer,trial-95,35404,131072
ddfuzz,libpcap_fuzz_both,trial-59,6974,131072
ddfuzz,libpcap_fuzz_both,trial-58,7062,131072
ddfuzz,libpcap_fuzz_both,trial-55,6310,131072
ddfuzz,libpcap_fuzz_both,trial-56,7098,131072
ddfuzz,libpcap_fuzz_both,trial-57,6427,131072
ddfuzz,libpcap_fuzz_both,trial-54,6836,131072
ddfuzz,libpcap_fuzz_both,trial-52,6066,131072
ddfuzz,libpcap_fuzz_both,trial-51,6719,131072
ddfuzz,libpcap_fuzz_both,trial-60,6387,131072
