,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
82,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,0,6926,,,0
192,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,900,9919,,,0
287,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,1800,10012,,,0
422,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,2700,10212,,,0
566,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,3600,10243,,,0
672,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,4500,10342,,,0
827,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,5400,10372,,,0
941,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,6300,10380,,,0
1090,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,7200,10439,,,0
1242,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,8100,10445,,,0
1368,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,9000,10449,,,0
1482,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,9900,10463,,,0
1614,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,10800,10469,,,0
1733,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,11700,10478,,,0
1868,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,12600,10483,,,0
2001,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,13500,10485,,,0
2133,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,14400,10502,,,0
2266,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,15300,10507,,,0
2389,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,16200,10509,,,0
2517,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,17100,10512,,,0
2649,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,18000,10514,,,0
2765,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,18900,10521,,,0
2916,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,19800,10553,,,0
3040,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,20700,10553,,,0
3171,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,21600,10554,,,0
3299,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,22500,10554,,,0
3435,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,23400,10577,,,0
3556,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,24300,10599,,,0
3675,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,25200,10600,,,0
3799,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,26100,10606,,,0
3930,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,27000,10606,,,0
4056,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,27900,10607,,,0
4241,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,28800,10607,,,0
4356,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,29700,10611,,,0
4464,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,30600,10612,,,0
4595,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,31500,10616,,,0
4728,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,32400,10617,,,0
4859,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,33300,10620,,,0
4982,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,34200,10644,,,0
5105,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,35100,10647,,,0
5280,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,36000,10650,,,0
5388,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,36900,10650,,,0
