,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
83,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,0,6927,,,0
176,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,900,10016,,,0
283,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,1800,10128,,,0
444,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,2700,10176,,,0
581,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,3600,10232,,,0
706,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,4500,10244,,,0
825,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,5400,10262,,,0
935,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,6300,10285,,,0
1072,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,7200,10290,,,0
1189,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,8100,10302,,,0
1364,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,9000,10332,,,0
1473,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,9900,10341,,,0
1597,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,10800,10345,,,0
1760,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,11700,10378,,,0
